Subj_idx,Stimulus,Response,Confidence,RT_decConf,Contrast
1,1,2,71.7,0.63738,3
1,2,2,56.5,1.9103,1
1,1,2,54.1,1.0597,1
1,1,1,76.4,0.65977,3
1,2,2,68.1,0.94884,2
1,2,2,65.1,0.71311,1
1,1,2,61.9,0.74994,2
1,2,2,69.1,0.63508,3
1,2,2,74.7,0.60573,3
1,1,1,82.2,0.72738,2
1,1,2,83.1,0.69326,3
1,2,2,79.1,0.74738,3
1,1,2,65,2.3544,1
1,1,2,53.2,1.2436,2
1,2,2,69.9,0.85206,3
1,1,2,72.9,0.86019,2
1,1,1,74.8,0.75713,3
1,1,1,59.4,0.91232,1
1,2,2,100,0.88677,3
1,2,2,83.9,0.9891,3
1,1,2,75.1,0.72122,1
1,2,2,100,0.91883,3
1,1,1,79.9,0.75588,1
1,1,1,56.5,1.0395,1
1,1,1,82.6,0.87247,3
1,1,2,67,0.82575,2
1,2,2,96.3,0.68984,3
1,2,2,69.4,0.71916,2
1,1,1,78.9,0.63072,3
1,1,1,66.1,0.95294,2
1,2,1,73.1,1.9243,2
1,1,1,63.5,1.1925,3
1,2,1,81.2,0.93808,1
1,1,2,83.9,1.0326,1
1,2,2,100,1.1459,2
1,2,1,50.7,1.9907,1
1,2,2,81.7,0.84667,3
1,1,1,65.3,0.69522,3
1,1,1,62.1,1.3265,1
1,1,1,65.3,0.75664,3
1,1,1,77.2,0.75235,3
1,2,2,68.4,0.77635,2
1,2,2,82.8,0.68341,2
1,2,1,74.5,0.66728,1
1,2,2,72.2,0.73125,3
1,2,2,80.2,0.78416,1
1,1,2,71.6,0.73209,2
1,2,2,79.3,0.73844,2
1,1,1,92.5,0.74397,2
1,2,2,100,0.70025,3
1,2,2,63,0.85961,1
1,1,1,72.6,0.6436,2
1,1,1,85.1,0.73252,1
1,2,2,98.4,0.60142,3
1,1,1,68,0.56484,1
1,1,2,72.2,0.80949,2
1,1,1,76.1,0.93038,1
1,2,2,84.2,0.59248,1
1,1,1,75.5,0.74842,1
1,2,2,89.9,0.80871,3
1,2,1,62.2,0.89118,1
1,1,1,78.1,0.72142,2
1,1,1,84.6,0.81159,3
1,1,1,75.2,0.70618,1
1,1,2,60.7,0.95323,1
1,1,1,62.1,0.78832,2
1,1,1,95.5,0.87905,3
1,2,2,96.7,0.76669,1
1,2,1,62.2,0.76347,2
1,2,2,59.2,1.5431,1
1,2,1,62.1,0.86722,3
1,2,2,82.1,0.84363,2
1,2,2,89.4,0.85993,3
1,1,1,85,0.71491,3
1,1,1,100,0.77003,3
1,1,1,78.5,0.68462,3
1,1,1,90.8,0.67829,2
1,1,1,77,0.62068,3
1,1,1,77.5,0.74272,2
1,2,2,78.1,0.73243,1
1,2,1,88.1,0.7216,1
1,2,2,100,0.82293,2
1,2,1,74.5,0.81671,1
1,2,1,58.7,0.90574,1
1,1,2,78.3,0.88777,1
1,2,2,82.2,0.83884,2
1,1,2,60.6,1.0638,2
1,1,1,88.7,0.71941,2
1,1,1,72.8,0.77454,1
1,2,2,100,0.70393,2
1,1,1,86.4,0.63066,2
1,1,1,65.4,0.69418,3
1,1,1,81.4,0.51681,2
1,1,2,92,0.60259,2
1,1,1,78.7,0.66301,3
1,1,1,89,0.95776,2
1,1,1,83.4,0.64158,3
1,2,2,67.1,0.81843,3
1,2,2,71.2,0.62102,3
1,1,1,90.4,0.60773,3
1,2,2,98.7,0.63384,2
1,1,2,62.6,0.65875,1
1,2,2,80.8,0.85153,3
1,2,2,77.1,0.64461,1
1,1,1,83.4,0.93955,1
1,2,1,66.8,0.85905,2
1,1,2,83.5,0.67407,1
1,2,2,85.7,0.6658,3
1,1,1,62.7,1.0088,1
1,2,2,69.4,0.76263,1
1,2,2,75.2,0.94505,2
1,1,1,86.4,0.62868,1
1,1,2,79.2,0.57459,2
1,2,1,68.2,0.68911,1
1,1,2,90.2,0.63404,2
1,1,2,65.9,1.658,3
1,1,1,68.6,1.4491,2
1,1,2,68.7,1.7858,1
1,2,2,67.8,0.80349,3
1,2,2,86.4,0.91026,3
1,1,1,82,0.70856,3
1,2,2,100,0.77037,3
1,1,2,69.2,0.75879,1
1,1,1,87.7,0.88342,1
1,2,2,90.4,1.0264,3
1,1,1,68.3,1.0283,3
1,2,2,80.9,0.64361,1
1,2,2,93.2,0.7973,2
1,2,2,83,0.69553,2
1,1,1,74.8,1.1344,3
1,1,1,76.8,0.75609,2
1,2,2,100,0.73756,3
1,2,2,76.2,0.76499,1
1,1,1,75.6,0.76233,3
1,2,2,93.1,0.71723,2
1,1,1,99.6,0.70845,3
1,2,2,76.1,0.69883,1
1,1,1,72.1,0.61776,3
1,2,2,93.6,0.61237,3
1,2,2,89.2,0.59862,3
1,1,1,79.2,0.73752,2
1,2,2,69.9,0.6048,2
1,1,1,73,0.58962,1
1,1,1,73.7,0.72901,1
1,2,2,99.7,0.55928,2
1,1,1,97.2,0.72419,3
1,1,1,67.1,1.2102,2
1,2,2,83.7,0.69195,1
1,2,2,71.2,0.81078,1
1,2,2,93.5,0.72369,3
1,2,2,77.2,0.76034,2
1,2,2,70.9,0.7334,1
1,2,2,92.9,0.70738,1
1,2,2,79.1,0.69663,2
1,1,1,72.8,0.65771,3
1,2,2,68.1,0.85684,1
1,2,2,80,0.81732,1
1,2,1,80.2,0.79489,3
1,1,1,67.6,0.76478,2
1,2,2,80.8,0.71308,2
1,2,2,90.2,0.6166,3
1,2,2,72.8,2.6023,2
1,2,2,82.4,0.77128,1
1,2,2,100,0.71165,3
1,2,2,100,0.64512,1
1,2,2,79.5,0.83893,1
1,1,2,74,0.65442,2
1,1,1,86.4,0.70329,2
1,1,1,81.6,0.62206,2
1,1,1,68,0.84764,1
1,1,1,69.7,0.54373,2
1,1,1,70.6,0.70221,2
1,2,2,82,0.65912,3
1,1,1,65.5,3.2682,1
1,1,1,80.9,1.0015,2
1,2,2,100,0.65231,3
1,2,2,90.6,0.64378,1
1,2,2,93.2,0.98066,3
1,2,2,91.1,0.66545,2
1,2,2,100,0.56913,3
1,2,2,100,0.61337,1
1,2,2,100,0.56046,1
1,2,2,79,0.84447,2
1,1,2,99.2,0.62007,1
1,1,1,83,0.94242,1
1,1,1,100,0.88402,3
1,1,1,97.6,1.1145,1
1,1,1,84.1,1.3437,1
1,1,2,100,0.96556,2
1,1,2,79.7,0.96974,1
1,1,1,83.6,0.74888,3
1,2,1,59.9,0.87028,1
1,2,2,71.7,1.007,2
1,2,2,75,0.69591,1
1,2,2,82.3,0.78287,3
1,2,2,86.2,0.63497,2
1,2,2,75.6,0.7325,2
1,2,2,94.5,0.93761,3
1,1,1,94.3,0.71045,3
